prov lingala	French	signification
Mosala ezalaka na motuya soki ezali na mokano.	Le travail a plus de valeur lorsqu'il a un objectif.	Un effort orienté vers un but est plus efficace.
Kobanda ezali pete, kosilisa nde komekama.	Commencer est facile, terminer est l'épreuve.	La persévérance est nécessaire pour mener un projet à son terme.
Moto oyo asilisa oyo abandaki ayekolaka discipline.	Celui qui termine ce qu'il commence apprend la discipline.	Achever ses tâches développe la rigueur.
Mbongo ezali mosali malamu, kasi mokonzi mabe.	L'argent est un bon serviteur, mais un mauvais maître.	L'argent doit rester un outil et ne pas diriger toute la vie.
Moto oyo alandaka mbongo kaka akoki kobungisa bato.	Celui qui ne poursuit que l'argent peut perdre les gens.	La recherche excessive du profit peut abîmer les relations.
Bozwi ya lelo ekoki kozala bobola ya lobi soki mayele ezali te.	La richesse d'aujourd'hui peut devenir la pauvreté de demain sans sagesse.	Les ressources mal gérées peuvent disparaître.
Moke moke etondisaka ebombelo.	Petit à petit, le grenier se remplit.	L'accumulation régulière de petites ressources produit beaucoup avec le temps.
Mbongo moke ebombami mokolo nyonso ekómaka mingi.	Un peu d'argent épargné chaque jour devient beaucoup.	L'épargne régulière finit par produire une somme importante.
Kozala na mingi elingi koloba te kozala na nyonso.	Avoir beaucoup ne signifie pas tout avoir.	La richesse matérielle ne répond pas à tous les besoins humains.
Moto ya esengo azali te kaka oyo azali na mingi.	La personne heureuse n'est pas seulement celle qui possède beaucoup.	Le bonheur ne dépend pas uniquement des biens matériels.
Soki posa eleki makoki, mpasi ebandaka.	Quand les désirs dépassent les moyens, les problèmes commencent.	Il faut adapter ses dépenses et ses ambitions à ses ressources.
Nyongo ezali mokumba na lipeka.	La dette est une charge sur l'épaule.	S'endetter crée une responsabilité qui peut devenir lourde.
Liboso ya kodefa, kanisa ndenge ya kozongisa.	Avant d'emprunter, pense à la manière de rembourser.	Il faut évaluer sa capacité de remboursement avant de s'endetter.
Moto oyo akoki kozela akoki kozwa oyo alingi.	Celui qui sait attendre peut obtenir ce qu'il veut.	La patience augmente parfois les chances de réussite.
Mokolo moko ekoki te kosilisa mosala ya bambula.	Un seul jour ne peut pas accomplir le travail de plusieurs années.	Les grands objectifs demandent du temps.
Mokemoke nde nsoso amelaka mayi.	C'est petit à petit que la poule boit l'eau.	Les grandes choses s'accomplissent progressivement.
Koleka noki te nde kokoma liboso.	Aller très vite ne signifie pas toujours arriver le premier.	La régularité peut être plus importante que la vitesse.
Moto oyo azelaka na mayele azelaka mpamba te.	Celui qui attend avec sagesse n'attend pas en vain.	Une attente utile s'accompagne de préparation.
Ntango ya kolona ezali te ntango ya kolala.	Le temps de semer n'est pas le temps de dormir.	Il faut agir lorsque l'occasion se présente.
Ntango ya kobuka ezali mbano ya ntango ya kolona.	Le temps de la récolte est la récompense du temps des semailles.	Les résultats viennent après les efforts.
Mokolo ekoki kozala molai, kasi esilaka.	La journée peut être longue, mais elle finit.	Même les périodes difficiles ont une fin.
Butu ezalaka molai, kasi ntongo eyaka.	La nuit peut être longue, mais le matin arrive.	Après les difficultés vient souvent une période meilleure.
Moto oyo atiki elikya atiki nzela.	Celui qui abandonne l'espoir abandonne le chemin.	Perdre l'espoir rend plus difficile la poursuite des objectifs.
Bwanya ezalaka na koyeba oyo okoki mpe oyo okoki te.	La sagesse consiste à savoir ce que tu peux et ne peux pas faire.	Connaître ses limites est une forme de maturité.
Makasi nyonso ezali te na misisa.	Toute force ne se trouve pas dans les muscles.	La force peut aussi être mentale, morale ou intellectuelle.
Motema makasi eleki maboko makasi.	Un cœur fort vaut plus que des bras forts.	Le courage intérieur peut être plus important que la force physique.
Moto oyo amesani na mpasi abanga mikakatano nyonso te.	Celui qui est habitué aux épreuves ne craint pas tous les obstacles.	L'expérience de l'adversité développe la résilience.
Soki okwei mbala sambo, telema mbala mwambe.	Si tu tombes sept fois, relève-toi huit fois.	Il faut toujours se relever après un échec.
Kokwea ezali liteya soki otelemaka.	Tomber devient une leçon si tu te relèves.	L'échec peut devenir une source d'apprentissage.
Kobanga libunga ekoki kopekisa elonga.	La peur de l'erreur peut empêcher la réussite.	La crainte excessive d'échouer empêche parfois d'agir.
Moto oyo amekaka azali pene ya koyekola.	Celui qui essaie est proche d'apprendre.	L'expérimentation est essentielle au progrès.
Soki omeki te, okoyeba te.	Si tu n'essaies pas, tu ne sauras pas.	Il faut agir pour découvrir ce qui est possible.
Elonga ya solo eyaka sima ya komekama.	La vraie réussite vient après l'épreuve.	Les succès les plus solides suivent souvent des difficultés.
Moto oyo ayebi komitambwisa akoki kotambwisa basusu.	Celui qui sait se diriger lui-même peut diriger les autres.	Le leadership commence par la maîtrise de soi.
Mokonzi ya malamu ayokaka bato na ye.	Un bon dirigeant écoute son peuple.	Le leadership exige écoute et attention aux autres.
Kozala liboso elingi koloba te kozala likolo ya bato.	Être devant ne signifie pas être au-dessus des autres.	Diriger ne signifie pas mépriser ou dominer.
Mokonzi oyo azangi bosembo abungisaka confiance.	Un dirigeant sans honnêteté perd la confiance.	L'intégrité est essentielle au leadership.
Moto oyo azali na mokumba asengeli kozala ndakisa.	Celui qui porte une responsabilité doit être un exemple.	Les responsables doivent montrer par leurs actes ce qu'ils attendent des autres.
Kopesa mitindo ezali pete, kopesa ndakisa ezali mpasi.	Donner des ordres est facile, donner l'exemple est difficile.	Le véritable leadership se démontre par les actes.
Mokonzi ya solo ayebi mpe kondima libunga.	Un vrai dirigeant sait aussi reconnaître une erreur.	Admettre ses fautes renforce la crédibilité d'un responsable.
Bokonzi ezanga koyoka bato ekómaka kilo.	Un pouvoir qui n'écoute pas les gens devient lourd.	L'autorité sans dialogue peut devenir oppressive.
Moto nyonso azali na eloko ya koteya.	Chaque personne a quelque chose à enseigner.	On peut apprendre de chacun.
Moto nyonso azali na eloko ya koyekola.	Chaque personne a quelque chose à apprendre.	Personne ne sait tout.
Soki moto azangi koyoka, mpasi ekoteya ye.	Si quelqu'un refuse d'écouter, la difficulté lui enseignera.	Celui qui refuse les conseils apprend souvent par l'expérience.
Toli ya malamu ezalaka lokola mwinda na butu.	Un bon conseil est comme une lampe dans la nuit.	Un conseil juste peut éclairer une situation difficile.
Moto oyo ayebi kotala liboso akimaka mabulu.	Celui qui sait regarder devant lui évite les trous.	La prévoyance permet d'éviter de nombreux problèmes.
Miso etala, motema epona.	Les yeux regardent, le cœur choisit.	Il faut observer avant de décider.
Soki nzela ezali mibale, kanisa liboso opona.	S'il y a deux chemins, réfléchis avant de choisir.	Les choix importants demandent du discernement.
Kopona mabe ezali mpe liteya.	Faire un mauvais choix est aussi une leçon.	Les erreurs de décision peuvent nous apprendre à mieux choisir.
Moto ya mayele abongisaka liboso ya likama.	La personne sage se prépare avant le danger.	La prévention est une forme de sagesse.
Keba na oyo ezali pete mingi.	Méfie-toi de ce qui paraît trop facile.	Certaines facilités peuvent cacher des risques.
Eloko nyonso ya kongenga ezali wolo te.	Tout ce qui brille n'est pas de l'or.	Les apparences peuvent être trompeuses.
Miso emonaka libanda, motema eyebaka kati.	Les yeux voient l'extérieur, le cœur connaît l'intérieur.	L'apparence ne révèle pas toujours la véritable nature d'une personne.
Moto oyo aseki yo lelo akoki kosenga yo lisungi lobi.	Celui qui se moque de toi aujourd'hui peut demander ton aide demain.	Les situations changent ; il vaut mieux rester humble.
Koseka mpasi ya moto ezali kobosana lobi.	Se moquer du malheur d'autrui, c'est oublier demain.	La vie peut changer rapidement ; il faut avoir de la compassion.
Mokili ezali roue, oyo azali likolo lelo akoki kozala na se lobi.	Le monde est une roue : celui qui est en haut aujourd'hui peut être en bas demain.	Les positions sociales et les circonstances ne sont pas permanentes.
Komikitisa efungolaka baporte.	L'humilité ouvre des portes.	Une attitude humble facilite les relations et les opportunités.
Lolendo ekangaka matoyi.	L'orgueil ferme les oreilles.	L'arrogance empêche d'écouter les conseils.
Moto ya lolendo ayekolaka na mpasi.	La personne orgueilleuse apprend difficilement.	L'orgueil ralentit l'apprentissage.
Limemya ezanga mbongo kasi ezali na motuya.	Le respect ne coûte pas d'argent mais il a de la valeur.	Le respect est précieux même s'il ne s'achète pas.
Moto oyo apesaka limemya azwaka limemya.	Celui qui donne du respect reçoit du respect.	Le respect est souvent réciproque.
Kombo malamu ezali bilamba oyo epasolaka te.	Une bonne réputation est un vêtement qui ne se déchire pas facilement.	Une bonne réputation durable protège la dignité d'une personne.
Bosembo ezali nzela molai kasi esukaka malamu.	L'honnêteté est un long chemin, mais il finit bien.	L'intégrité peut être exigeante mais porte des fruits durables.
Soki ozali na mingi, kobosana oyo azali na moke te.	Si tu as beaucoup, n'oublie pas celui qui a peu.	La prospérité devrait s'accompagner de générosité.
Loboko oyo epesaka ezanga lokumu te.	La main qui donne ne manque pas d'honneur.	La générosité est une qualité respectée.
Kopesa moke na motema malamu eleki kopesa mingi na lolendo.	Donner peu avec un bon cœur vaut mieux que donner beaucoup avec orgueil.	L'intention compte autant que la quantité donnée.
Moto oyo akabolaka azangaka te na mitema ya bato.	Celui qui partage ne manque pas de place dans le cœur des gens.	La générosité crée de l'affection et de la reconnaissance.
Bilei ya moke ekabolami eleki ebele eliami yo moko.	Un petit repas partagé vaut mieux qu'un grand repas mangé seul.	Le partage peut donner plus de valeur aux biens modestes.
Soki ozali na mibale, moko ekoki kosalisa mosusu.	Si tu en as deux, l'un peut aider l'autre.	Quand on a un surplus, on peut en faire profiter quelqu'un.
Motema ya kopesa ezalaka mozwi.	Un cœur généreux est riche.	La véritable richesse peut être morale plutôt que matérielle.
Kosalisa moto ezali kolona na motema.	Aider quelqu'un, c'est semer dans le cœur.	La bonté laisse une trace durable chez celui qui la reçoit.
Bolamu ebungaka te.	Le bien ne se perd pas.	Une bonne action finit souvent par avoir un effet positif.
Oyo osali mpo na moto, mokili ekoki kozongisela yo.	Ce que tu fais pour quelqu'un, la vie peut te le rendre.	Les bonnes actions peuvent revenir de manière inattendue.
Moto akoki kozala mosika kasi motema ezala pene.	Une personne peut être loin mais proche dans le cœur.	La distance géographique n'efface pas forcément les liens affectifs.
Boninga ya solo ebangaka distance te.	La vraie amitié ne craint pas la distance.	Les relations sincères peuvent survivre à l'éloignement.
Komonana mingi te elingi koloba kobosana te.	Ne pas se voir souvent ne signifie pas s'oublier.	Une relation peut rester forte malgré des contacts peu fréquents.
Soki motema ekangami, nzela molai ezali mokuse.	Quand les cœurs sont liés, une longue distance devient courte.	L'affection rend la séparation plus supportable.
Moninga oyo ayokaka yo na kimia ezali bozwi.	Un ami qui t'écoute en silence est une richesse.	Une écoute sincère est précieuse.
Maloba mingi esengeli te mpo na boninga ya solo.	La vraie amitié n'a pas besoin de beaucoup de paroles.	La compréhension mutuelle peut dépasser les mots.
Moninga ya solo amonaka mpasi liboso oloba.	Un vrai ami voit ta peine avant que tu ne parles.	La proximité permet parfois de percevoir les difficultés sans explication.
Boninga esengaka bosolo.	L'amitié exige la vérité.	La sincérité est indispensable aux relations solides.
Confiance etongamaka na mikolo, ebebaka na seconde.	La confiance se construit en des jours et peut se briser en une seconde.	La confiance est lente à construire et rapide à perdre.
Moto oyo abatelaka confiance abatelaka relation.	Celui qui protège la confiance protège la relation.	Préserver la confiance aide à préserver les liens.
Kanda ekómaka, kasi mokano ekoki kozela.	La colère arrive, mais la décision peut attendre.	Il vaut mieux attendre de retrouver son calme avant de décider.
Monoko ya kanda ebimisaka maloba oyo motema eboyaka.	La bouche en colère prononce des paroles que le cœur désapprouve.	Sous l'effet de la colère, on peut dire des choses que l'on regrette.
Soki ozali na kanda, vanda naino kimia.	Si tu es en colère, reste d'abord tranquille.	Le silence temporaire peut éviter un conflit.
Kimia ekoki kolonga maloba mingi.	Le silence peut vaincre beaucoup de paroles.	Ne pas répondre à une provocation peut être plus efficace qu'un long débat.
Motema ya kimia emonaka nzela malamu.	Un cœur calme voit mieux le chemin.	Le calme améliore le jugement.
Koyanola noki te ezali mpe eyano.	Ne pas répondre immédiatement est aussi une réponse.	Prendre du temps avant de répondre peut être sage.
Soki maloba ekoki kobebisa, kimia ekoki kobikisa.	Si les paroles peuvent détruire, le silence peut sauver.	Dans certaines situations, se taire évite d'aggraver un conflit.
Kosilika ezali pete, kosilisa likambo nde mpasi.	Se fâcher est facile, résoudre le problème est difficile.	La résolution des conflits demande plus de maturité que la colère.
Moto oyo ayebi komipekisa azali na makasi.	Celui qui sait se maîtriser est fort.	La maîtrise de soi est une forme importante de force.
Kolongwa na etumba mosusu ezali elonga.	Quitter certaines batailles est une victoire.	Refuser un conflit inutile peut être une décision intelligente.
Koyekola ezali nzela oyo esukaka te.	Apprendre est un chemin qui ne se termine pas.	L'apprentissage dure toute la vie.
Buku moko ekoki kofungola makanisi mingi.	Un seul livre peut ouvrir beaucoup d'idées.	La lecture peut profondément élargir la pensée.
Moto oyo atangaka ayokaka maloba ya bato oyo bazali mosika.	Celui qui lit entend les paroles de ceux qui sont loin.	La lecture permet d'apprendre de personnes éloignées dans le temps ou l'espace.
Koyekola ezanga pratique etikalaka ndambo.	Un apprentissage sans pratique reste incomplet.	La connaissance devient plus solide lorsqu'elle est appliquée.
Mayele ezali te na motó kaka, ezali mpe na maboko.	Le savoir n'est pas seulement dans la tête, il est aussi dans les mains.	Le savoir pratique est aussi important que la théorie.
Moto oyo ayebi kosala ayebi koleka oyo ayebi koloba kaka.	Celui qui sait faire sait plus que celui qui sait seulement parler.	La compétence pratique complète les connaissances verbales.
Motuna ya lelo ekoki kozala eyano ya lobi.	La question d'aujourd'hui peut devenir la réponse de demain.	La curiosité prépare les découvertes futures.
Kososola ezali koleka kokanga na motó.	Comprendre vaut mieux que mémoriser.	La compréhension profonde est plus utile que la simple mémorisation.
Molakisi ya liboso ezali libunga.	Le premier professeur est l'erreur.	Les erreurs sont une source importante d'apprentissage.
Molakisi akoki kolakisa nzela, kasi mwana nde atambolaka.	Le professeur peut montrer le chemin, mais c'est l'élève qui marche.	L'apprentissage exige un effort personnel.
Nzela ya elonga ezanga mabulu te.	Le chemin de la réussite n'est pas sans trous.	Le succès comporte inévitablement des difficultés.
Elonga ezalaka na motuya mpo mpasi ezalaki.	La réussite a de la valeur parce qu'il y a eu des difficultés.	Les obstacles donnent souvent plus de sens au succès.
Moto ya molende atalaka suka, te mpasi ya nzela.	La personne persévérante regarde la destination, pas seulement la difficulté du chemin.	Garder l'objectif en vue aide à persévérer.
Mokano makasi ekoki koleka nzela ya mpasi.	Une forte détermination peut traverser un chemin difficile.	La détermination aide à surmonter les obstacles.
Soki ozali kokende liboso, ata mokemoke, ozali kokende.	Si tu avances, même lentement, tu avances quand même.	Le progrès lent reste du progrès.
Kotelema ezali kobunga soki nzela ezali naino.	S'arrêter peut être perdre lorsque le chemin continue.	Il faut éviter d'abandonner trop tôt.
Moto oyo azongaka lisusu sima ya kokweya azali makasi.	Celui qui revient après être tombé est fort.	La résilience se voit dans la capacité à recommencer.
Komekama emonisaka makasi oyo obombaki.	L'épreuve révèle la force que tu cachais.	Les difficultés peuvent révéler des capacités insoupçonnées.
Mpasi ezali te suka ya lisolo.	La difficulté n'est pas la fin de l'histoire.	Une période difficile ne détermine pas nécessairement l'issue finale.
Suka ya nzela emonanaka te ntango nyonso na ebandeli.	La fin du chemin n'est pas toujours visible au début.	On ne peut pas toujours prévoir où nos efforts nous mèneront.
Moto oyo azali na plan azali pene ya kosala.	Celui qui a un plan est proche d'agir.	La planification prépare l'action.
Plan ezanga action ezali ndoto.	Un plan sans action est un rêve.	Une idée n'a de valeur concrète que si elle est mise en œuvre.
Action ezanga plan ekoki kobungisa ntango.	L'action sans plan peut faire perdre du temps.	Agir sans direction peut être inefficace.
Kobongisa moke liboso ekitisaka mpasi mingi na sima.	Une petite préparation avant réduit beaucoup de difficultés après.	La préparation prévient de nombreux problèmes.
Mosala ekabolami ezalaka pete.	Le travail partagé devient plus facile.	La coopération réduit la charge individuelle.
Equipe oyo esololaka esalaka malamu.	Une équipe qui communique travaille bien.	La communication améliore la coordination.
Moto nyonso na mosala na ye, projet etambolaka.	Quand chacun fait son travail, le projet avance.	La répartition claire des responsabilités favorise le progrès.
Mokonzi ya malamu atongaka bato, te kaka mosala.	Un bon dirigeant développe les personnes, pas seulement le travail.	Le leadership consiste aussi à faire grandir son équipe.
Mosala ya malamu ebombamaka te.	Un bon travail ne reste pas caché.	La qualité finit souvent par être reconnue.
Résultat ezali mongongo ya mosala.	Le résultat est la voix du travail.	Les résultats parlent souvent mieux que les promesses.
Mbongo oyo oyebi te esika eutaki ekoki komema mpasi.	L'argent dont tu ignores l'origine peut apporter des problèmes.	Il faut être prudent face aux gains douteux.
Profit ya noki ekoki kobota perte ya molai.	Un profit rapide peut produire une longue perte.	Un gain immédiat peut cacher des conséquences négatives.
Mombongo ezanga confiance etambolaka te.	Le commerce sans confiance ne fonctionne pas.	La confiance est essentielle dans les affaires.
Client moko ya malamu akoki koleka ba promesses zomi.	Un bon client peut valoir plus que dix promesses.	Une relation commerciale réelle vaut plus que des opportunités incertaines.
Mombongo ekolaka na kombo malamu.	Le commerce grandit avec une bonne réputation.	La réputation favorise la confiance des clients.
Soki olingi koteka, yeba liboso oyo moto azali koluka.	Si tu veux vendre, sache d'abord ce que la personne cherche.	Comprendre le besoin du client est essentiel.
Ntalo moke ezalaka ntango nyonso qualité malamu te.	Un prix bas ne signifie pas toujours une bonne qualité.	Le moins cher n'est pas forcément le meilleur choix.
Ntalo ya eloko ezali mpe na ndenge eumelaka.	La valeur d'une chose dépend aussi de sa durée.	La durabilité fait partie de la valeur d'un produit.
Mbongo ya entreprise ezali mbongo ya entreprise.	L'argent de l'entreprise est l'argent de l'entreprise.	Il faut séparer les finances professionnelles des finances personnelles.
Mombongo ya malamu ebandaka na problème ya solo.	Une bonne entreprise commence par un vrai problème.	Une activité durable répond généralement à un besoin réel.
Moto azali te esanga.	Une personne n'est pas une île.	Chacun dépend des autres d'une manière ou d'une autre.
Bomoko ebikisaka oyo moto moko akoki te.	L'unité sauve ce qu'une seule personne ne peut pas sauver.	La coopération permet de résoudre des problèmes plus grands.
Maboko mingi ememaka mokumba ya kilo.	Beaucoup de mains portent une lourde charge.	Un effort collectif rend les tâches difficiles plus faciles.
Bato soki basangani, nzela efungwamaka.	Quand les gens s'unissent, le chemin s'ouvre.	L'action collective crée de nouvelles possibilités.
Moto moko akoki kobanda, bato mingi bakoki kosilisa.	Une personne peut commencer, plusieurs peuvent terminer.	Les grandes œuvres nécessitent souvent une contribution collective.
Bomoko ezali makasi oyo emonanaka te.	L'unité est une force invisible.	La cohésion donne au groupe une puissance qui dépasse les individus.
Soki bato bazali na mokano moko, mikakatano ekómaka mike.	Quand les gens ont un même objectif, les difficultés deviennent plus petites.	Un objectif commun facilite la coopération.
Lisanga ezanga koyokana ekabwanaka.	Un groupe sans entente se divise.	La cohésion est nécessaire à la stabilité d'un groupe.
Koyokana ezali fondation ya lisanga.	L'entente est la fondation d'un groupe.	Une bonne coopération repose sur le dialogue et la confiance.
Makasi ya lisanga ezali na bato na yango.	La force d'un groupe réside dans ses membres.	La qualité d'une communauté dépend de l'engagement de ses membres.
Mokili eteyaka moto oyo azali prêt koyekola.	La vie enseigne à celui qui est prêt à apprendre.	Les expériences deviennent utiles lorsqu'on reste ouvert aux leçons.
Bomoi ezali mobembo, te course.	La vie est un voyage, pas une course.	Il n'est pas nécessaire de se comparer constamment aux autres.
Moto nyonso azali na ntango na ye.	Chaque personne a son temps.	Les réussites et étapes de vie n'arrivent pas au même moment pour tout le monde.
Kokanisa bomoi na yo na ya mosusu ekoki koyiba esengo.	Comparer ta vie à celle d'un autre peut voler ta joie.	La comparaison permanente peut empêcher d'apprécier ce que l'on a.
Esengo ezalaka mpe na biloko ya mike.	Le bonheur se trouve aussi dans les petites choses.	Les plaisirs simples ont une grande valeur.
Kozala na kimia ezali mpe elonga.	Être en paix est aussi une réussite.	Le succès ne se mesure pas seulement en argent ou en statut.
Moto akoki kozala na nyonso kasi azanga kimia.	Une personne peut tout avoir mais manquer de paix.	Les biens matériels ne garantissent pas le bien-être intérieur.
Motema oyo ezangi posa mingi epemaka.	Un cœur qui désire moins se repose.	Réduire les désirs excessifs peut apporter de la tranquillité.
Bomoi ezali mokuse mpo na kobomba kanda mingi.	La vie est trop courte pour garder trop de colère.	Il vaut mieux éviter de conserver longtemps les rancunes.
Lelo ezali cadeau oyo lobi elaki te.	Aujourd'hui est un cadeau que demain n'a pas promis.	Il faut valoriser le présent car l'avenir n'est pas garanti.
Moto oyo azangi patience abukaka mbuma liboso ebela.	Celui qui manque de patience cueille le fruit avant qu'il ne mûrisse.	La précipitation peut faire perdre le bénéfice d'un effort.
Soki mbula enoki, mabele nde ebombaka mayi.	Quand la pluie tombe, c'est la terre qui garde l'eau.	Les occasions profitent surtout à ceux qui sont prêts à les recevoir.
Moto ya bokebi amonaka likama liboso ekóma pene.	La personne prudente voit le danger avant qu'il ne soit proche.	La vigilance permet d'anticiper les problèmes.
Kobanga nyonso ezali te bwanya.	Avoir peur de tout n'est pas de la sagesse.	La prudence ne doit pas devenir paralysie.
Mpo na kokoma mosika, osengeli koyeba esika ozali kokende.	Pour aller loin, il faut savoir où l'on va.	Un objectif clair donne une direction à l'effort.
Moto oyo azali na mokano akoki kobongola nzela.	Celui qui a un objectif peut changer de chemin.	On peut adapter la méthode sans abandonner le but.
Nzete ya mbuma efinamaka na mabanga mingi.	L'arbre qui porte des fruits reçoit beaucoup de pierres.	Les personnes utiles ou visibles attirent souvent critiques et jalousies.
Moto oyo asalaka mingi ayokaka mpe maloba mingi.	Celui qui agit beaucoup entend aussi beaucoup de paroles.	L'action expose souvent aux critiques.
Soki oyebi motuya na yo, maloba ya bato ebebisaka yo te.	Si tu connais ta valeur, les paroles des autres ne te détruisent pas.	La confiance en soi protège contre les jugements injustes.
Likambo nyonso ezali na ntango na yango.	Toute chose a son temps.	Il faut respecter les étapes et les saisons de la vie.
Moto oyo aleki yo na nzela akoki koyebisa yo libulu ezali wapi.	Celui qui est passé avant toi peut te montrer où se trouve le trou.	L'expérience des autres peut nous éviter des erreurs.
Toli ya mobange ezali nzela oyo eleki mibembo mingi.	Le conseil d'un ancien est un chemin qui a connu beaucoup de voyages.	L'expérience accumulée des aînés peut être précieuse.
Koyoka bato ya kala ekoki kobatela bato ya lelo.	Écouter les anciens peut protéger les gens d'aujourd'hui.	Les leçons du passé peuvent prévenir les erreurs présentes.
Moto oyo abosani ebandeli akoki kobunga na suka.	Celui qui oublie le début peut se perdre à la fin.	Il faut garder en mémoire ses origines et son objectif initial.
Soki oyebi esika owuti, okozala na pete koyeba esika ozali kokende.	Si tu sais d'où tu viens, il te sera plus facile de savoir où tu vas.	La connaissance de ses origines aide à construire son avenir.
Mizizi ya makasi esimbaka nzete na mopepe.	Des racines solides soutiennent l'arbre dans le vent.	Des bases solides aident à traverser les crises.
Moto azanga mizizi akoki komemama na mopepe nyonso.	Celui qui n'a pas de racines peut être emporté par tous les vents.	Sans valeurs ou repères, on devient facilement influençable.
Bonkoko ezali buku oyo ekomi na bomoi ya bato.	La tradition est un livre écrit dans la vie des gens.	Les pratiques culturelles transmettent l'expérience collective.
Kobatela bonkoko elingi koloba te koboya mbongwana.	Préserver la tradition ne signifie pas refuser le changement.	On peut respecter l'héritage tout en évoluant.
Mayele ya sika ekolaka malamu soki ezwi mizizi ya kala.	Le savoir nouveau grandit bien lorsqu'il prend racine dans l'ancien.	L'innovation gagne à s'appuyer sur l'expérience passée.
Moto oyo asalaka na motema nyonso ayokaka motuya ya mosala.	Celui qui travaille de tout cœur connaît la valeur du travail.	L'engagement donne du sens à l'effort.
Mosala ya ndambo epesaka mbuma ya ndambo.	Un travail à moitié fait donne un résultat à moitié.	Un effort incomplet produit souvent des résultats insuffisants.
Maboko ezanga mosala ebosana ndenge ya kosala.	Des mains sans travail oublient comment travailler.	La pratique régulière entretient les compétences.
Kozela inspiration kaka ekoki kozongisa mosala sima.	Attendre seulement l'inspiration peut retarder le travail.	La discipline compte plus que l'envie du moment.
Discipline esalaka oyo motivation ekoki kosala te mokolo nyonso.	La discipline fait ce que la motivation ne peut pas faire chaque jour.	La constance permet d'avancer même sans enthousiasme.
Moto ya discipline atongaka lobi na ye lelo.	La personne disciplinée construit son demain aujourd'hui.	Les habitudes présentes façonnent l'avenir.
Mosala ya mikolo mingi epesaka elonga oyo emonanaka lokola ya mokolo moko.	Le travail de plusieurs jours produit un succès qui peut sembler venir en un jour.	Les réussites visibles cachent souvent de longs efforts.
Elonga ya bato mingi ezali na mosala oyo bato mingi bamonaka te.	Beaucoup de réussites reposent sur un travail que les autres ne voient pas.	Le succès public résulte souvent d'efforts invisibles.
Moto oyo alingaka qualité azongelaka mosala na ye.	Celui qui aime la qualité revient sur son travail.	La révision et l'amélioration font partie d'un bon travail.
Kosilisa noki ezali te ntango nyonso kosala malamu.	Finir vite ne signifie pas toujours bien faire.	La vitesse ne doit pas remplacer la qualité.
Soki ozali na posa ya mbuma, batela mpe mabele.	Si tu veux des fruits, prends aussi soin de la terre.	Pour obtenir des résultats durables, il faut protéger les conditions qui les rendent possibles.
Moto oyo abebisaka source akoki kozanga mayi lobi.	Celui qui détruit la source peut manquer d'eau demain.	Il faut préserver les ressources dont on dépend.
Kolia nyonso lelo ezali kobosana lobi.	Tout consommer aujourd'hui, c'est oublier demain.	La prévoyance exige de garder des ressources pour l'avenir.
Kozala na ebele ezali te raison ya kobebisa.	Avoir beaucoup n'est pas une raison de gaspiller.	L'abondance ne dispense pas de la prudence.
Eloko ya bato nyonso esengeli kobatelama lokola ya moto moko.	Ce qui appartient à tous doit être protégé comme un bien personnel.	Les biens communs demandent une responsabilité collective.
Soki moto moko abebisi mabele, bato mingi bakoki komona mpasi.	Si une personne détruit la terre, beaucoup peuvent en souffrir.	Les actes individuels peuvent avoir des conséquences collectives.
Mayi ya lelo ezali bomoi ya lobi.	L'eau d'aujourd'hui est la vie de demain.	Préserver les ressources naturelles protège l'avenir.
Nzete oyo otoni lelo ekoki kopesa elili na mwana na yo lobi.	L'arbre que tu plantes aujourd'hui peut donner de l'ombre à ton enfant demain.	Certaines actions profitent surtout aux générations futures.
Kobatela mokili ezali kobatela bana oyo bakoya.	Protéger le monde, c'est protéger les enfants qui viendront.	La responsabilité environnementale concerne les générations futures.
Moto ya mayele azwaka oyo asengeli, abebisaka te oyo etikali.	La personne sage prend ce dont elle a besoin sans détruire le reste.	La modération permet de préserver les ressources.
Soki ozali na pouvoir, yeba ete ezali mokumba.	Si tu as du pouvoir, sache que c'est une responsabilité.	L'autorité doit s'accompagner de devoirs.
Bokonzi ezanga justice ebota somo.	Le pouvoir sans justice produit la peur.	Une autorité injuste détruit la confiance.
Mokonzi oyo ayokaka kaka ye moko abungisaka bato.	Le dirigeant qui n'écoute que lui-même perd les gens.	Le leadership fermé au dialogue isole le responsable.
Koyangela ezali te kaka kopesa mitindo.	Diriger, ce n'est pas seulement donner des ordres.	Le leadership implique écoute, service et responsabilité.
Moto oyo azali liboso asengeli kotala mpe baoyo bazali na sima.	Celui qui est devant doit aussi regarder ceux qui sont derrière.	Un responsable doit penser aux personnes qu'il conduit.
Bokonzi ya solo esalelaka bato, esalelami na bato te.	Le vrai leadership sert les gens au lieu de les utiliser.	Un bon responsable agit au bénéfice de la communauté.
Mokonzi oyo akabolaka lokumu akolisaka équipe na ye.	Le dirigeant qui partage le mérite fait grandir son équipe.	Reconnaître les contributions des autres renforce le groupe.
Moto oyo azwi mokumba azwi mpe compte ya kopesa.	Celui qui reçoit une responsabilité reçoit aussi l'obligation de rendre des comptes.	Toute responsabilité implique une reddition de comptes.
Justice esengeli kozala ndenge moko mpo na bato nyonso.	La justice doit être la même pour tous.	L'équité exige des règles appliquées sans favoritisme.
