en	lin
A pizza? That works, yeah.	Pizza moko? Ekoki kosalema, eh.
She studied in the United States.	Asala ba kelassi naye na États-Unis.
"You scoundrel!" I cried, "what are you doing?"	Balado! Na mingangela, ozo sala nini?
Douglas finally agreed to speak with Lincoln.	Douglas asili ko ndima kolobana na Lincon.
You're a funny girl.	Ozali muana muasi moko ndenge.
Sometimes, at nightfall, he would look up curiously at the starry sky.	Ntangu misusu, na ngonga butu esili koyingela, azalaki kotombola misu na likolo etonda minzoto na mposa.
He keeps a diary, and that encouraged me to do the same, but in English.	Asimbi mokanda ya sekele, mpe yango epesaki ngai makasi yako sala lolenge wana, kasi na lokota ya anglais.
Whether or not Shakespeare wrote this poem will probably remain a mystery.	Soki Shakespeare akoma maloba oyo to te ekotikala motuna.
Most of the snakes on this island are harmless.	Ba nyoka mingi, na esanga oyo, bazali ya mabe te.
He will help us change the tire.	Akosunga biso pona kotia pneu mususu.
The ball rolled along the ground toward me.	Ndembo atembolaki na nse bisika nazalaki.
Such treatment would make anyone rebel.	Makambu ya boye ekokaki kotombokisa mutu nyonso.
I have extremely fair skin and I don't tan at all.	Nazali na loposo pembe makasi mpe na mitikaka na nse ya moyi te.
Where is the nearest supermarket?	Supermarché ya pembeni ezali wapi?
Mr. White said that because of the convention, there were no free rooms.	Monsieur White alobi likolo ya mayangani, bisika ya polele ezalaki lisusu te.
Dead leaves float on the surface of the water.	Mankasa ekufa mazalaki kotambola likolo ya mayi.
Please write the size, color, and style on the order form.	Komisa mulayi, langi mpe lolenge na mokanda ya commande.
He covered his back with a blue coat.	Azipaki mokongo naye na kazaka ya langi ya bule.
When we eat, we chew slowly.	Ntangu toliaka, to tafunaka malembe.
Health is an essential factor in happiness.	Bokolongonu bwa nzoto ezali eleko ya motuya pona esengo.
The lion roars.	Ntambwe angangi.
Sooner or later, all parents must have a conversation with their children about the birds and the bees.	Ata lelo te kasi lobi, Ba boti nyonso basengeli kozala na lislo na bana na bango na maye matali ba fololo mpe ba ndunda.
This winter, writing took up most of my free time.	na hiver oyo, kokoma nde ezwaki mingi ya ba ngonga na ngai ya bopemi.
The maid came in carrying a cake.	Boyi ya muasi akotaki na gâteau azalaki komema.
How much is nine minus six?	Libwá kolongola motóba epesi boni?
Mr. Smith proposed to Jane.	M. Smith asengi Jane libala.
If you don't study more, you'll keep getting bad grades.	Soki ozali kotanga mingi te, okozwa kaka ba points ya mabe.
This glove has a hole at the thumb.	Gant oyo etoboka esika ya musapi ya munene.
Dan helped Linda find an elegant dress at the clothing store.	Dan asungaki Liinda azwa nzambala ya kitoko na boutiki ya bilamba.
He is wanted for car theft.	Azali yakolukisama pona moyibi ya motuka.
They accused the president of not caring about the man on the street.	Bazalaki kofunda mokonzi ya ekolo ete azali komitungisama te pona mutu ya nzela.
Not seeing you online for a whole day scares me.	Kozanga komona yo en ligne mokolo mobimba ezali kobangisa ngai.
There is a festival during the rice harvest.	Ezali na mayangani ya bokongoli loso.
If you don't plant the seeds, they won't grow.	Soki oloni ba mbumba te, bakobota te.
The doctor sent the living patient to the morgue.	Dokotolo a tindaki mobeli ya bomoyi na ndaku ya baweyi (morgue).
Women who seek to be equal to men lack ambition.	Basi oyo balukaka bakokana na mibali bazanka makambu ya kosala.
Tom offers to go shopping while Marie watches the children.	Tom asengi marie soki akoki kosala wenze ntangu ye azali kokengela bana.
It is sweet and noble to die for one's country.	Ezali likambo ya kitoko mpe lokumu kokufa pona ekolo.
I would like to go into foreign trade in the future.	Nakolinga nasala mombongo ya libanda ekolo na mikolo mikoya.
You remind me so much of my friend Marina, a great master of Russian.	Ozali kokanisisa ngai moninga na ngai marina, molakisi monene ya russe.
We chose Jeffrey as our team captain.	Toponi Jeffrey lokola capitanaie ya lisanga na biso.
As usual, he reads the newspaper while eating.	Bomomesano, Azali kotanga Lokasa (journal) na koliya.
He threw himself into the wolf's jaws.	Amikotisi na monoko ya ngando.
A perfect map should be as big as the territory it represents.	Carte ya malamu esengeli ezala monene lolenge moko na mboka oyo ezali kolakisa.
I found a rare stamp at this store.	Nazwi timbre moko oyo emonanaka pamba pamba te na magasin oyo.
Several soldiers were wounded during the offensive.	ba soda ebele basilaki kozoka ntangu ya bitumba.
For years, he's been at his fish stall at the market every Tuesday.	Uta ba mbula ebele, azalaka na bisika naye ya botandi mbisi mokolo nyonso ya mibale ya mposo.
The people of America fought for their independence.	Bayi America bambundaki pona lipanda na bango.
Hello everyone!	Mbote na baye banso !
Does a uniform eliminate differences in social class?	Sokoto ezali kolongola bokeseni okati ya bayi ekolo?
At the theater, Kathy switched seats with her mother.	Na bisika ya masano, Kathy na mama na ye ba bongolaki bisika na bango.
Tom is watching a movie on the second German TV channel.	Tom azali kotala bilili na chaine ya mibale ya ba allemands.
Sam helps anyone who asks him.	Sam asungaka moto nyonso oyo asengaka ye lisungi.
Thomas bought a bottle of olive oil.	Thomas asombi mulangi ya mafuta ya olive.
Sir, you smoked in your room, and we've added a $200 charge to your bill.	Monsieur, omelaki likaya na esika olalaki mpe tobakisi nkámá mibale ya dollars na fature na yo.
"Oh no! I'm late again! They're going to end up calling me 'the King of Lateness.'"	"Oh, te ! Nazali lisusu na retard ! Tii bakobenga ngai ""Mukonzi ya retard""."
The audience thought it wasn't a short circuit, but that it was part of the show.	Batali ya lisano ba banzaki ete ezalaki nkonkoso ya lotiliki te, kasi ezalaki lolenge lisano elengelamaki.
When he arrived in London, he sent me a telegram.	Ntangu akomaki Londres, atindelaki ngai nkoma.
The stomach is one of the internal organs.	Líkundú ezali moko ya biteni ya kati ya nzoto.
He owed his success as much to his skill as to his diligence.	Kolonga naye ezalaki kowuta na bompikiliki mpe komipesa naye na mosala.
The young man was arrested for his involvement in a riot.	Elenge akangamaki po amikotisaki na mobulu.
It's only when I can't sleep at night that the ticking of the clock becomes loud enough to bother me.	Kaka na ntangu ya bozangi pongi na butu nde makelele  ya likonga ya ngonga ekomaka mutungisi pona ngai.
Thank you for your politeness.	Natondi yo pona botosi bwa yo.
He called me an hour ago.	Abengaki ngai na alo alo ewuti koleka ngonga moko.
The teacher stressed the importance of daily exercises.	Molakisi abetaki sete na ntina ya koyekola mikolo inso.
I wear shorts all the time.	Nalataka kupe ngonga nyonso.
Mortal enemies are immortal friends.	Banguna oyo bakoki kokufa bazali baninga oyo bakufaka te.
Carbon dating was performed on the sample to determine its age.	Datation au carbone esalemaki na eteni oyo eponamaki pona koyeba mbula n'ango.
Dan heard sounds of sex all night long at the hotel.	Dan Ayoki makelele ya bosangisi nzoto butu mobimba na hôtel.
Consider the following scenario.	Kanisa lolenge oyo.
Forgive me for interrupting you, but could you open the window?	Bolimbisi nakokata yo maloba, kasi okoki kofungola lininisa.
Despair led him to attempt suicide.	Bozangi elikya ememi ye koluka komiboma.
Animals act according to their instincts.	Banyama basalaka makambu na lolenge ya bonyama na bango.
Unless you have evidence, you cannot accuse him of theft.	Loba ozala na biye mazali kolakisa, okoki kofunda ye na kimoyibi te.
The café is on the ground floor, two floors down.	Café ezali  na nse, kokita ba étages mibale.
Whether a joke is perceived as funny depends heavily on the cultural context.	Pona liseki emonisama lokola ezali kosekisa makasi esengeli kolanda bizaleli ya bisika ezali kopesama.
There are those who, in a desperate situation, seek help through others' prayers, but don't think to pray for themselves.	Ezalaka na bato, ontei ya bozangi elikya, balukaka lisungi kati ya mabondeli ya baninga, kasi bazalaka na likannisi ya kosambela te pona bango moko.
We have three adopted children. The two youngest are biological brothers.	Tozwa bana misato bakoma lokola ya biso. Ba oyo mibale ya bilenge makasi bazali ba ndeko ya makila.
My uncle is an amateur cricket player.	Noko na ngai azali mobeti ya lisano ya cricket kasi ezali mosala naye te.
Marc is in the bedroom.	Marc azali na chambre esika ya kolala.
The two countries are going to negotiate a settlement to the crisis.	Ba mboka nyonso mibale bakosolola mobeko pona kosunga na mobulu oyo eyingeli.
She completely sacrificed herself to raise her children.	Amipesi mbeka pona kokolisa bana naye.
No one knows exactly how many races make up the population of the United States.	Moto moko te ayebi motuya ya ba lolenge ya bato oyo bazali kosala population ya  États-Unis.
The proof that the cake is good is that it's being eaten.	Eloko ezali kolakisa ete gâteau ezali kitoko ezali koliama nango.
The police questioned many people who were working near the crime scene.	Pulusu atunaki bato ebele oyo bazalaki kosala pembeni ya bisika likama esalemaki mituna.
I've made peace with my creator. I'm ready to die.	Na luki kimia na mokeli na ngai. Na zali ya kobongama pona kokufa.
Emily is afraid of heights.	Emily abangaka kozala likolo.
The spies poisoned the count.	Banɔ́ngi ba tielaki mokonzi poison.
The operation was really touch-and-go at one point, but the doctor thinks he'll survive.	Lipaso ezalaki na bokebi makasi, sika awa, na ngonga moko, kasi munganga akanisi ete akobika.
I had never seen a star so bright.	Na mona naino munzoto kongenga boye te.
The savage stole my precious jewels and fled.	Moto ya bonyama ayibaki ngai mabanga na ngai ya talo mpe akimaki.
Many cultural differences remain between West Germany and East Germany.	Bokeseni ebele na maye matala bizaleli kati ya Allemagne ya eloli (Ouest) mpe Allemagne ya monyele (Est).
I suppose you'll need this.	Na banzi ete okozala na mposa ya oyo.
The terrorists swore to take revenge on this country.	Ba terroristes ba lapaki ndayi ete ba kobekola  na mboka oyo.
My name is strange.	Kombo na ngai ezali somo.
Thank you for finally explaining to me why people take me for a fool.	Matondo na ndenge ondimbolisi ngai pona nini bato bazali kozwa ngai lokola zoba.
The nun prayed and made the sign of the cross.	Mamelo asambelaki mpe asalaki elembo ya ekuluze.
We all fight against our own remedy; for death is the remedy for all ills.	To bundisaka biso nyonso nkisi na biso; pamba te liwa ezali nkisi na mikakatano nyonso.
Ireland and England are separated by the sea.	Irlande na Angleterre bakabwani na mayi (mer).
Science is based on rigorous observations.	Science elandaka mamonisami oyo ya kafu kafu.
It was a suicide attack.	Ezalaki attentat ya komiboma.
I cannot forgive him for insulting me in public.	Nakoki kolimbisa ye te pona lolenge afingi ngai na esika ya bato ebele.
During the war, America tried to halt trade with England.	na ntangu ya bitumba, America amekaki kokata mombongo na Angleterre.
Once, Tom ate at a cheap restaurant and got food poisoning. So now he's very careful about where he eats.	Mbala moko, Tom aliaki  na restaurant ya talo moke mpe abelaki libumu. Akoma na ekenge koleka na bisika aliaka.
Enormous numbers of soldiers and civilians were killed.	Motuya ya ba soda mpe ba civils ebele ba bomaki.
You may kiss the bride.	Okoki koyamba muasi nayo obali.
I want to file a formal complaint.	Nako kotisa plainte lolenge esengeli.
The Catholic Church is opposed to divorce.	Ecclezia katoliko eboyaka bokabwani ya balongani.
They had to join Jacques.	Basili kolanda Jacques.
The salmon swims upstream and lays its eggs in the sand.	Mbisi ya saumon amataka likolo ya mayi  mpe atikaka maki naye na mabele.
The thread goes wherever the needle pulls it.	Singa elandaka nzela ya ntonga.
One mangy sheep infects the whole flock.	Lilala moko ya kopola ebebisaka malala nyonso.
Throughout the whole lesson, he was counting flies.	Na ntangu ya mateya, ye azalaki kotanga ba nzinzi.
Napoleon led his troops into Russia.	Napoléon amemaki ba mampiga mya ye na mboka Russie.
Most traffic accidents are due to lack of sleep.	Makama mingi makomaka na nzela ya mutuka mawutaka na mpongi.
The Latin language is not entirely unknown to me, but I am completely incapable of speaking it.	Lokota ya latin ezali mopaya te epayi na ngai kasi nazali na makasi te yako loba yango.
The queen of witches is dead.	Mokonzi ya ba ndoki ya basi akufi.
Don't waste a single grain of rice!	Kobebisa ata mbuma moko te ya loso !
In Japan, hot springs are abundant.	Na Japon, bisika ya mayi ya moto ebimaka mazali ebele.
I hate interviews.	Nayina masolo.
Your political party is completely corrupt.	Lisanga ya politiki na yo etondi na bato ya kaniaka.
Thus, fifty percent of muscle can give way to fat.	Na yango, kati kati ya misisa ya nzoto makoki kotika esika na mafuta ya nzoto.
She has an automatic washing machine.	Azali na mashini ya kosukola ya automatique.
The sight of the fresh lobster gave me an appetite.	Na komona KosaKosa ya monene mpe sika epesi ngai mposa ya kolia.
Digital technology for language learning is slowly but surely taking hold.	Mayele ya sika pona boyekoli lokota ezali koyingela malembe malembe kasi na lolenge esengeli.
This man has hit rock bottom: his wife left him, he got fired from his job, and he's an alcoholic. The worst part is that I knew him — he was my boss five years ago.	Moto oyo akomi na suka : muasi naye akimi ye balongeli ye na musala mpe azali moto ya milangwa. Eleko ya mpasi ezali ete nayebaki ye, azalaki mukonzi na ngai eleki ba mbula mitano.
My client wishes to plead guilty.	Moto nazali kosambela alingi andima mbeba naye.
We were sweating because of the heat.	Totondisamaki na mutoki likolo ya mulunge.
Marie started giggling.	Marie akomaki kosala makelele ya koseka.
Dan is the only crook around here.	Dan azali nagwalima moko oyo azali na bisika oyo.
This bill was submitted for the Senate's approval.	Makanisi ya mibeko oyo ekotaki na Sénat pona kondimama.
He set to work so that Congress would lower taxes.	Amipesaki mosala po ete Sénat ekitisa ba mpako.
Among us today there is developing a concentration of private power unequaled in history.	Kati na biso na mokolo ya lelo bokonzi ya bato ezali kokoba koleka lolenge ya kala.
Nowadays, almost all cars have a GPS.	Na mikolo mya lelo, ba mituka nyonso ezali mingi mingi na GPS.
My uncle vouched for my debts.	Noko na ngai andimaki ete akofuta ba niongo na ngai.
We could hear wolves howling in the distance.	Tokokaki koyoka ba mbwa ya zamba konganga na musika.
Medical marijuana is legal in this state.	Diamba pona kobikisa endingisami na Mbula matari.
The fire reduced the entire village to ashes.	Moto ekomisi mboka nyonso putulu.
He was totally hitting on you at the bar.	Azalai kotia yo litoyo penza, na ekala.
The company issued a press release.	Kompanyi esilaki kopesa nsango ezalaki kowuta na ba panzi nsango.
The angry crowd was throwing objects at the police.	Lisanga ya bato na nkanda bazalaki kobamba mabanga na ba pulusu.
We sang songs together in a chorus.	Tozalaki koyemba ba nzembo na lolenge ya lisanga.
If you go underwater, hold your breath and blow out to unblock your ears.	Soki okayi na nse ya mayi, kanga mpema mya yo mpe bimisa mpema pona ete matoyi mya yo ma fungwama.
She often talks about her fiancé.	Abetaka mingi lisolo ya likangu na ye.
It's my special recipe, rabbit stew.	Oyo ezali elubu na ngai ya ntina, soupou ya lapin.
Greece is taking radical measures to avoid the collapse of its financial system.	 Grèce azali kozwa mikano ya kafu kafu pona kobatela bokasi ya mosolo mya maye matali misolo mya ye.
I would also like to take this opportunity to tell that arrogant guy, who I hope is listening to this program, that everyone is fed up with his haughty comments and that we all want to see him go.	Nakolinga zwa eposa (opportunite) oyo, na lolenge moko, pona koyebisa moto ya lelendo oyo, na banzi, azolanda mabongisi oyo, ete bato nyonso balembi maloba mya ye ya lolendo mpe tolingi komona ye akende.
Moaning, weeping, praying is likewise cowardly. Vigorously carry out your long and heavy task, on the path where Fate has chosen to call you, then afterward, like me, suffer and die without complaint.	Komilela lela, kolela, kosambela ezali mpe lokola goigoi. Sala mosala mya yo na makasi nyonso na lolenge oyo esengeli, ndenge etinda na yo na mokili esengeli, mpe na sima, lokola ngai, nyokwama mpe kufa koloba eloko te.
Sorry, honey, there's no way I can spend a whole evening chatting over cocktails.	Bolimbisi, bolingo, ezali na lolenge moko te oyo nakoki kozwa mpokwa mobimba pona lisolo pembeni ya nkopo ya masanga.
Latin uses 23 letters: a, b, c, d, e, f, g, h, i, k, l, m, n, o, p, q, r, s, t, u, x, y, z.	Latin esalelaka ba nkoma ntúkú míbalé na mísáto : a, b, c, d, e, f, g, h, i, k, l, m, n, o, p, q, r, s, t, u, x, y, z.
At times he told himself that letting such a beautiful woman go out alone in Paris like that was as reckless as leaving a jewelry box full of jewels in the middle of the street.	Ba ntangu misusu azalaki komilobela ete kotika muasi kitoko lolenge oyo kobima ye moko na Paris ezalaki likanisi ya kozanga ekenge ndenge moko na kotika sanduku ya ba biju ya motuya na kati kati ya bala bala.
The Japanese tend to want to know certain personal information about someone, such as their age, social status, and whether or not they're married, before feeling comfortable talking with a foreigner.	Ba Japonais bazalaka na bizaleli ya koluka koyeba mingi maye matali mutu lokola mbula naye, bozwi naye, soki abala to te, liboso ba ndima kosolola na mopaya.
Aeneas emerges from the cloud and appears suddenly; he pays his compliments to the queen, who gives him a very warm welcome, and he hastens to send provisions of every kind to his companions who remained on the shore.	Énée abimi na mapata mpe abimi na pwasa ; apesi ya ye longonya na muasi ya mokonzi, oyo asalelaki ye nteke ya malonga, mpe awelisi kotindela biloko ya lolenge nyonso na ba ninga na ye oyo batikalaki na  pembeni ya mayi.
To end up naked, suffocating in a padlocked gym bag, with the key to the padlock under your buttocks, inside the bag, you'd have to be an English spy, right?	Po ete omonisma motakala, yako kangelama mpe kozanga lolenge ya koppema okati ya sacoche na cadena, fungola ya cadena na nse ya masoko, okati ya sacoche, sengeli ozala espion ya ba anglais, bongo te?
It's clear that Americans can't even solve their own problems. So how can they possibly think they're capable of handling the problems of the rest of the world?	Ezali komonisema na pole ete ba Américains bazali na makoki yako silisa makambo na bango moko te. Boni boni bakoki kozala na makanisi yako banza ete bakoki kosilisa makambu ya mokili misusu?
"But listen, and learn by what certain signs these places promised by fate will make themselves known."	""" Kasi yoka, mpe yabe na bilembo nini basusu / bako yebisa bisika oyo abingisamaki na bomoi na bango. """
As for me, rather than trying to be a cosmopolitan, likeable man, I would like to be someone from the land with an open mind.	Pona ngai, bisika ya komeka kozala moto awuti na engumba monene mpe azali malamu, nakosepela kozala moto awuti mboka kasi atoondisami na makanisi.
Unfortunately, the police had to wait for another victim before trying to learn more about the serial killer.	Mawa po ete, pulusu ezelaki ete moto musus akufa yambo ba luka koyeba nani zalaki mobomi ya ba mbala ebele.
After the destruction of the Second World War in the city center, many new buildings appeared. However, some beautiful old residences still exist in a few places.	Sima ya bopanzi oyo eselamaki na bitumba ya mokili mobimba pona ntangu ya mibale na centre-ville, ba ndako ya siika mamonisamaki. Kasi ba ndako misusu mya kala masili kozala na bisika misusu.
You want answers to questions you shouldn't be asking.	Bolingi biyano na mituna oyo esengelaki botuna te.
The car is parked in Zone E, spot 97. Exit through the main entrance, turn right, and go to the end of the terminal.	Motuka etelemisami na Zone E, place 97. Bima na nzela ya monene ya kokotela, baluka na loboko ya mobali mpe kende ti na suka ya terminal.
Never pass in front of any church without reverently greeting and worshiping Jesus Christ who rests there, and honoring the Saint to whom it is dedicated: show the same respect to the crosses you encounter.	Kolekaka soki mokolo moko te liboso ya ecclezia mpe opesa mbote ya botosi to mpe osanjola Yezu te oyo azali kopema kuna, mpe kumisa mosantu oyo ecclesia epesameli : lakisa botosi na ba ekuluzu nyonso ozali komona na nxela na yo.
Don't you remember that singer from back then, Komuro or Himuro, I don't really remember, who did some weird dance?	Oza kanisa lisusu mooyembi ya muasi oyo te na ntangu  wana, Komuro ou Himuro,nayebi te soki na tangi ye malamu, oyo azalaki kosala mabima moko ya ndenge ?
Even though the two boys hadn't liked each other's partner at first, they quickly became friends.	Ata soki bana ya mibali mibale ya mikie bazalaki kolinga molongani ya moko moko te, bakomaki ba ninga na sima.
Yesterday we went to a classical music concert. During the first part, they played something sad — I almost fell asleep; the second part was a bit more cheerful.	Lobi tokendaki mindule ya miziki ya mindele. Na ntangu ya eteni ya yambo, babetaki betaki eloko moko ya mawa - na komaki pene ya kolala ; eteni ya mibale nde ezali mwa moke na esengo.
With the past no longer illuminating the future, the mind walks in darkness.	Ntangu eleka ezali kopesa pole lisusu te na ntangu ekoya, molimo ezali kotambola na molili.
Hey, wait a minute. I hope you're not trying to tell me that you're not going to pay me back my money.	Eh, zela ngonga moko. Nabanzi ozali komeka  koyebisa ngai ete okozongisela ngai mosolo na ngai te.
Aeneas first sees to providing for his companions' immediate needs; he goes hunting and kills several deer, which he distributes to them; he then offers them some words of encouragement.	Énée azali kolengele nanu ba ninga na ye na bopesi bango biye bisengeli ya yambo ; azali kokende bokila, mpe koboma ba mboloko ebele oyo azali kokabolela bango; sima na yango ayebisi bango ba yika mpiko.
There he takes aboard an unfortunate Greek from Ulysses's company, named Achaemenides, who had been left on that shore, abandoned by his companions.	Kuna asili koyamba epayi na ye moto ya mawa moko ya greki oyo azalaki na lingomba ya Ulysse, na kombo ya Acheménide, oyo atikalaki na libongo wana mpo baninga naye basundolaki ye.
Once you've made Berthe sick, you'll have to call the doctor, it'll cost money at the pharmacist's, and once again you'll be the one left holding the bag...	Ntangu okobelisa Berthe, esengeli obenga dokotolo, ekosenga misolo epayi ya moteki nkisi (pharmacien), mpe ekozala yo lisusu moto okobima zoba...
Do you remember "Wacky Races"? Look at the primary in the United States of America — it looks awfully similar!	Ozali koyeba lisusu « Batu ya maboma oyo bazalaki kokumba » ? Tala ba maponami ya liboso ya America, ezali penza kokokana !
Below, sword in hand, fearless cohorts crowd inside and guard the gates. My fury awakens in these moments of terror; I fly to their aid, to the aid of my king.	Soki okiti mingi na nse, libende na maboko, Lisanga ya bato ya mpiko / ba kokende na lobango na kati, mpe kobatela bikuke. / Nkanda na ngai elamuki na ba ntangu oyo ya bobangi ; / na keyi kosunga bango, kosunga mokinzi na ngai.
Well, if it keeps snowing, Santa Claus won't be able to arrive on time.	Na yango, soki neige ezali kokweya kaka, père Noël akokoka kokoma na ntangu te.
Ah! You want to escape, you vile creature! You're trying to flee like a thief, in the middle of the night, huh?	Ah ! Olingi okima, ekelamu mabe ! Ozo luka okima lokola moyibi ya muasi, ontei ya butu, hein ?
Before retiring, she worked as secretary to the Director of a university research school.	Yambo ete akende na pension, azalaki kosala lokola secretaire ya Directeur ya kelassi pona kosala mabingisami ya université.
"O you, the love, hope, and pride of the Trojans, Hector, what god returns you to your countrymen? How we have suffered through your long absence! How we have begged for Hector's presence!"	""" O yo, bolingo, elikya, mpe lolendo ya ba Troyens, / Hector, nzambe nini azongisa yo na bayi mboka mwa yo ? / Ndenge to tungisamaki na ntangu molayi oyo ozalaki musika na biso ! / Nini  lisusu to koki kozenga na Hector soki kobondela bozali na ye te ! """
Dan's truck seemed to have vanished without a trace.	Mutuka ya monene ya Dan elimwaki mpe etikaki bilembo te.
"I Love You" is the title of more songs than anyone could sing in their entire lifetime.	"""Na lingi yo"" ezali nkombo ya ba loyembo oyo moto nyonso akoki koyemba na bomoyi naye mobimba."
I left some important company documents at my house. Sorry, but could you please go get them for me now?	Na tiki mikanda misusu ya mituya oyo ya companie na ndaku na ngai. Bolimbisi, kasi okoki, na bondeli yo, kokende kozwa myango sikoyo ?
Today's arraignment hearing gives the defendant his first opportunity to present his case in person.	Na ntangu ya esambeli ya lelo botangi ya likambu oyo ba fundeli ekopesa na moto oyo afundami eposa ya liboso po andimbola likambo naye ye moko.
Auxerre recorded its first win of the season and, in doing so, climbed out of the relegation zone.	Auxerre asili kozwa elonga naye ya liboso na masango mpe, lolenge wana, aleki mondelo ya motane.
You're funny, you! Did you really think I was going to wait for you all afternoon?	Ozali kosekisa, yo ! Obanzaki te ete nalingaki nazela yo mpokwa nyonso ?
There's no need to ask him to convince himself that he is, in heart and mind, bound to his class, his working class.	Ezali na ntina te yako senga ye mpo azala na koyeba ete azali, na nzoto mpe molimo, lingomba oyo ye azali, lingomba ya bana ngamba.
And why did you think he was my lover? Because his company gave me pleasure? If you were smarter, more pleasant, I would have preferred yours!	Mpona nini okanisaki ete azali linkangu na ngai ? Mpo ete komany na ye ezali kopesa ngai esengo ? Soki ozalaki mayele koleka, malau koleka, nalingaki na pona ya yo !
I'll explain the situation to you first, and you can ask me all the questions you want afterward.	Na ndimbolisa yo nanu ba makomi mpe okoki kotuna mituna mya yo na sima.
During the day we see the bright sun, and during the night we see the pale moon and the beautiful stars.	Na ntangu ya mokolo tomonaka moi kongenge, mpe ontei ya butu tomonaka sanza mpe minzoto ya kitoko.
"So, how much have you figured out this month?" "Well, you know, I'm like all guys, my outlook only goes twenty-four hours max!"	« Bon, obendi yango boni na sanza oyo ? » « Euh oyebi, nazali lokola mibali nyonso, makanisi mya ngai, esukaka na mokolo ya lelo ! »
The company responded to the appeal and will make a donation of twenty-five thousand euros.	Kompany eyanoli na mbela mpe ekosala libonza ya nkóto  ntúkú míbalé na mítáno ya ba euros.
On May 18th, a young Japanese couple were arrested after their one-year-old baby was found wrapped in a plastic bag and thrown into a gutter.	Mokolo ya zómi na mwámbe lya sanza mya  mítáno (18 mai), bilenge babale, muasi na mobali ya mboka japon bakangamaki sima ya bokuti muana na bango ya mbula lyoko oyo azalaki okati ya sacoche ya plastiki mpe ba bwakaki ye na matolo bisika ebongisama pona mayi ya mbula elekaka.
With Tatoeba on Android, you'll be able to translate Flaubert while making love, thus opening the way to levels of pleasure never explored before...	Na Tatoeba (application ya ba japonais pona kolimbola ba nkota ya ba paya) na lolenge n'ango ya Adroid (ya sika mpe makasi), tokoki kolimbola Flaubert na ntangu yabosangisi nzoto, bongo tokofungola ba nzela mpe ba lolengee ya nsai oyo nanu tomeka te...
In New York hotels, men are now advised to get out of their shower fully dressed.	Na ba hôtels na New York, toli epesami bongo na mibali ete babimaka na kikóso na bilamba.
Sir William Lucas, formerly a tradesman in Meryton, had made a tidy fortune. Having honorably held the office of mayor, he had been given a knighthood by the king.	M. William Lucas, kala azalaki mutu kosala mombongo na Meryton, azalaki na misolo ebele. Mpo asalaki mosala malamu ya kigouverneur, azwaki ngwende ya ki chevalier epayi ya mokonzi.
Standing in front of the open cupboard, Catherine thought it over. There was only a piece of bread left, plenty of cottage cheese, but barely a scrap of butter; and she had to make sandwiches for the four of them.	Liboso ya belei ebele, Catherine azalaki kokanisa. Etikalaki kaka eteni ya mukie ya lipa, fromage ya pembe ya kokoka, kasi mwa ndambu mukie ya manteka ; kasi esengelaki kotia na biteni ya mapa pona bango minei.
"So you hadn't noticed how beautiful I am?" Helene seemed to be telling him. "You hadn't noticed that I am a woman, and a woman that anyone can have, you most of all?" her gaze seemed to say.	« Omoni te lolenge boni nazali kitoko ? ezalaki lokola Hélène azalaki koloba bongo. Ozo mona te nazali muasi mpe muasi oyo moto nyonso akoki kozwa, mingi mingi yo ? » etaleli naye ezalaki koloba bongo.
While climbing the tree to show off in front of his girl friends, Gabriel made a complete fool of himself when his trousers caught on a thorn and made a suspicious ripping sound.	Na komata na nzete, pona asepelisa bana basi liboso mya ye, Gabriel amiyokisaki soni na ntangu oyo patalon naye ekangamaki na nzube mpe makele eyokanaki.
I used to be in charge of my high school's newsletter — call it a rag if you like — but anyway, that's how my passion for journalism was born.	Ntangu ya kala, nazalaki mokonzi ya lingomba ya ba panzi nsango ya kelassi na ngai, okoki kobenga yango nkasa ya ndunda soki olingi, na lolenge wana mposa na ngai ya kokoma mopanzi nsango ebotamaki.
I find it strange that Alice stays silent for so long.	Nazali komonona yango mistiki lolenge Alica azali kovanda kimia ntangu molayi.
Sorry, darling, there's no way I can spend a whole evening chatting over cocktails.	Bolimbisi, bolingo, ezali na lolenge moko te oyo nakoki kolekisa butu mobimba pona masolo pembeni ya nkopo ya masanga.
As you had requested a detailed account of the facts, we are sending you, enclosed, a note on the matter from the person responsible for the file.	Lokola osengaki makomi oyo mazali kolobela makambo malekaki, to tindeli yo, na pembeni, na yango, mokanda ewuti esika ya moto oyo azali kolandela likambo yina.
"Listen, Marie," I said to her, clasping her two small hands in mine, "don't you know me at all?" She looked at me with her beautiful eyes, and replied: "Why, no!"	« Yoka, Marie, nazalaki koyebisa ye na ntangu nasimbaki maboko mya ye mibale ya mike na sangisi myango na mya ngai, ozo yeba ngai lisusu te ? » Atali ngai na misu mya ye ya kitoko, mpe ayanoli : « Ah malamu te ! »
"How come you know so much about French?" "Well, I'm French. Of course I know about it." "But even I, who am Japanese, can't explain Japanese as well as that!"	« Ndenge nini osali  mpo ete oyeba lopoto malamu boye  ? » « kasi, nazali Français. Ezali ya kokamwa te ete nayeba yango. » « Kasi ata ngai moko oyo nazali Japonais, nayebi malamu te kondimbolisa kijaponais ! »
